x,y
0,7
1,10
2,13
3,16
4,19
5,22
6,25
7,28
8,31
9,34
10,37
11,40
12,43
13,46
14,49
15,52
16,55
17,58
18,61
19,64
20,67
21,70
22,73
23,76
24,79
25,82
26,85
27,88
28,91
29,94
30,97
31,100
32,103
33,106
34,109
35,112
36,115
37,118
38,121
39,124
40,127
41,130
42,133
43,136
44,139
45,142
46,145
47,148
48,151
49,154
50,157
51,160
52,163
53,166
54,169
55,172
56,175
57,178
58,181
59,184
60,187
61,190
62,193
63,196
64,199
65,202
66,205
67,208
68,211
69,214
70,217
71,220
72,223
73,226
74,229
75,232
76,235
77,238
78,241
79,244
80,247
81,250
82,253
83,256
84,259
85,262
86,265
87,268
88,271
89,274
90,277
91,280
92,283
93,286
94,289
95,292
96,295
97,298
98,301
99,304
